pc,next_pc,instr_type,rs1,rs2,reg_rs1,reg_rs2,taken,pred_all,pred_json
20,92,bge,7,6,1,16,0,00000000,00000000
40,72,blt,31,0,0,0,0,00000000,00000000
56,72,bge,30,15,8,12,0,00000000,00000000
40,72,blt,31,0,-1,0,1,00000000,00000000
20,92,bge,7,6,2,16,0,00000001,00000000
40,72,blt,31,0,1,0,0,00000010,00000001
56,72,bge,30,15,5,12,0,00000100,00000000
40,72,blt,31,0,0,0,0,00001000,00000010
56,72,bge,30,15,5,8,0,00010000,00000000
40,72,blt,31,0,-1,0,1,00100000,00000100
20,92,bge,7,6,3,16,0,01000001,00000000
40,72,blt,31,0,2,0,0,10000010,00001001
56,72,bge,30,15,2,12,0,00000100,00000000
40,72,blt,31,0,1,0,0,00001000,00010010
56,72,bge,30,15,2,8,0,00010000,00000000
40,72,blt,31,0,0,0,0,00100000,00100100
56,72,bge,30,15,2,5,0,01000000,00000000
40,72,blt,31,0,-1,0,1,10000000,01001000
20,92,bge,7,6,4,16,0,00000001,00000000
40,72,blt,31,0,3,0,0,00000010,10010001
56,72,bge,30,15,9,12,0,00000100,00000000
40,72,blt,31,0,2,0,0,00001000,00100010
56,72,bge,30,15,9,8,1,00010000,00000000
20,92,bge,7,6,5,16,0,00100001,00000000
40,72,blt,31,0,4,0,0,01000010,01000100
56,72,bge,30,15,1,12,0,10000100,00000001
40,72,blt,31,0,3,0,0,00001000,10001000
56,72,bge,30,15,1,9,0,00010000,00000010
40,72,blt,31,0,2,0,0,00100000,00010000
56,72,bge,30,15,1,8,0,01000000,00000100
40,72,blt,31,0,1,0,0,10000000,00100000
56,72,bge,30,15,1,5,0,00000000,00001000
40,72,blt,31,0,0,0,0,00000000,01000000
56,72,bge,30,15,1,2,0,00000000,00010000
40,72,blt,31,0,-1,0,1,00000000,10000000
20,92,bge,7,6,6,16,0,00000001,00000000
40,72,blt,31,0,5,0,0,00000010,00000001
56,72,bge,30,15,11,12,0,00000100,00100000
40,72,blt,31,0,4,0,0,00001000,00000010
56,72,bge,30,15,11,9,1,00010000,01000000
20,92,bge,7,6,7,16,0,00100001,00000000
40,72,blt,31,0,6,0,0,01000010,00000100
56,72,bge,30,15,4,12,0,10000100,10000001
40,72,blt,31,0,5,0,0,00001000,00001000
56,72,bge,30,15,4,11,0,00010000,00000010
40,72,blt,31,0,4,0,0,00100000,00010000
56,72,bge,30,15,4,9,0,01000000,00000100
40,72,blt,31,0,3,0,0,10000000,00100000
56,72,bge,30,15,4,8,0,00000000,00001000
40,72,blt,31,0,2,0,0,00000000,01000000
56,72,bge,30,15,4,5,0,00000000,00010000
40,72,blt,31,0,1,0,0,00000000,10000000
56,72,bge,30,15,4,2,1,00000000,00100000
20,92,bge,7,6,8,16,0,00000001,00000000
40,72,blt,31,0,7,0,0,00000010,00000000
56,72,bge,30,15,15,12,1,00000100,01000001
20,92,bge,7,6,9,16,0,00001001,00000000
40,72,blt,31,0,8,0,0,00010010,00000000
56,72,bge,30,15,7,15,0,00100100,10000011
40,72,blt,31,0,7,0,0,01001000,00000000
56,72,bge,30,15,7,12,0,10010000,00000110
40,72,blt,31,0,6,0,0,00100000,00000000
56,72,bge,30,15,7,11,0,01000000,00001100
40,72,blt,31,0,5,0,0,10000000,00000000
56,72,bge,30,15,7,9,0,00000000,00011000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,7,8,0,00000000,00110000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,7,5,1,00000000,01100000
20,92,bge,7,6,10,16,0,00000001,00000000
40,72,blt,31,0,9,0,0,00000010,00000000
56,72,bge,30,15,10,15,0,00000100,11000001
40,72,blt,31,0,8,0,0,00001000,00000000
56,72,bge,30,15,10,12,0,00010000,10000010
40,72,blt,31,0,7,0,0,00100000,00000000
56,72,bge,30,15,10,11,0,01000000,00000100
40,72,blt,31,0,6,0,0,10000000,00000000
56,72,bge,30,15,10,9,1,00000000,00001000
20,92,bge,7,6,11,16,0,00000001,00000000
40,72,blt,31,0,10,0,0,00000010,00000000
56,72,bge,30,15,6,15,0,00000100,00010001
40,72,blt,31,0,9,0,0,00001000,00000000
56,72,bge,30,15,6,12,0,00010000,00100010
40,72,blt,31,0,8,0,0,00100000,00000000
56,72,bge,30,15,6,11,0,01000000,01000100
40,72,blt,31,0,7,0,0,10000000,00000000
56,72,bge,30,15,6,10,0,00000000,10001000
40,72,blt,31,0,6,0,0,00000000,00000000
56,72,bge,30,15,6,9,0,00000000,00010000
40,72,blt,31,0,5,0,0,00000000,00000000
56,72,bge,30,15,6,8,0,00000000,00100000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,6,7,0,00000000,01000000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,6,5,1,00000000,10000000
20,92,bge,7,6,12,16,0,00000001,00000000
40,72,blt,31,0,11,0,0,00000010,00000000
56,72,bge,30,15,3,15,0,00000100,00000001
40,72,blt,31,0,10,0,0,00001000,00000000
56,72,bge,30,15,3,12,0,00010000,00000010
40,72,blt,31,0,9,0,0,00100000,00000000
56,72,bge,30,15,3,11,0,01000000,00000100
40,72,blt,31,0,8,0,0,10000000,00000000
56,72,bge,30,15,3,10,0,00000000,00001000
40,72,blt,31,0,7,0,0,00000000,00000000
56,72,bge,30,15,3,9,0,00000000,00010000
40,72,blt,31,0,6,0,0,00000000,00000000
56,72,bge,30,15,3,8,0,00000000,00100000
40,72,blt,31,0,5,0,0,00000000,00000000
56,72,bge,30,15,3,7,0,00000000,01000000
40,72,blt,31,0,4,0,0,00000000,00000000
56,72,bge,30,15,3,6,0,00000000,10000000
40,72,blt,31,0,3,0,0,00000000,00000000
56,72,bge,30,15,3,5,0,00000000,00000000
40,72,blt,31,0,2,0,0,00000000,00000000
56,72,bge,30,15,3,4,0,00000000,00000000
40,72,blt,31,0,1,0,0,00000000,00000000
56,72,bge,30,15,3,2,1,00000000,00000000
20,92,bge,7,6,13,16,0,00000001,00000000
40,72,blt,31,0,12,0,0,00000010,00000000
56,72,bge,30,15,0,15,0,00000100,00000001
40,72,blt,31,0,11,0,0,00001000,00000000
56,72,bge,30,15,0,12,0,00010000,00000010
40,72,blt,31,0,10,0,0,00100000,00000000
