pc,taken,pred_all,pred_json
40,1,00000000,00000000
40,1,00000000,00000000
40,1,00000001,00000001
40,1,00000011,00000011
40,1,00000111,00000111
40,1,00001111,00001111
40,1,00011111,00011111
40,1,00111111,00111111
40,1,01111111,01111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,1,11111111,11111111
40,0,11111111,11111111
48,0,11111110,00000000
60,1,11111100,00000000
84,0,11111001,00000000
60,1,11110010,00000001
84,0,11100101,00000000
60,1,11001010,00000011
84,0,10010101,00000000
60,1,00101010,00000111
84,0,01010101,00000000
60,1,10101010,00001111
84,0,01010101,00000000
60,1,10101010,00011111
84,0,01010101,00000000
60,1,10101010,00111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
84,0,00010101,00000000
60,1,00101010,11110111
84,0,01010101,00000000
60,1,10101010,11101111
84,0,01010101,00000000
60,1,10101010,11011111
84,0,01010101,00000000
60,1,10101010,10111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
84,0,00010101,00000000
60,1,00101010,11110111
84,0,01010101,00000000
60,1,10101010,11101111
84,0,01010101,00000000
60,1,10101010,11011111
84,0,01010101,00000000
60,1,10101010,10111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
84,0,00010101,00000000
60,1,00101010,11110111
84,0,01010101,00000000
60,1,10101010,11101111
84,0,01010101,00000000
60,1,10101010,11011111
84,0,01010101,00000000
60,1,10101010,10111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
84,0,00010101,00000000
60,1,00101010,11110111
84,0,01010101,00000000
60,1,10101010,11101111
84,0,01010101,00000000
60,1,10101010,11011111
84,0,01010101,00000000
60,1,10101010,10111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
84,0,00010101,00000000
60,1,00101010,11110111
84,0,01010101,00000000
60,1,10101010,11101111
84,0,01010101,00000000
60,1,10101010,11011111
84,0,01010101,00000000
60,1,10101010,10111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
84,0,00010101,00000000
60,1,00101010,11110111
84,0,01010101,00000000
60,1,10101010,11101111
84,0,01010101,00000000
60,1,10101010,11011111
84,0,01010101,00000000
60,1,10101010,10111111
84,0,01010101,00000000
60,1,10101010,01111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,1,10101010,11111111
84,0,01010101,00000000
60,0,10101010,11111111
48,0,01010100,00000000
60,1,10101000,11111110
84,0,01010001,00000000
60,1,10100010,11111101
84,0,01000101,00000000
60,1,10001010,11111011
